ID_REF	ILMN_1699651
GSM1539080	7.473054997
GSM1539081	7.449330443
GSM1539082	7.478604848
GSM1539083	7.494073847
GSM1539084	7.492704687
GSM1539085	7.508066074
GSM1539086	7.537184912
GSM1539087	7.531582238
GSM1539088	7.461397851
GSM1539089	7.449358236
GSM1539090	7.513575569
GSM1539091	7.626895387
GSM1539092	7.541948125
GSM1539093	7.52033001
GSM1539094	7.455050868
GSM1539095	7.556723528
GSM1539096	7.486861273
GSM1539097	7.535177782
GSM1539098	7.463302156
GSM1539099	7.439689988
GSM1539100	7.516240964
GSM1539101	7.512020563
GSM1539102	7.301026005
GSM1539103	7.375887536
GSM1539104	7.412141949
GSM1539105	7.545642573
GSM1539106	7.504100125
GSM1539107	7.538772002
GSM1539108	7.487585151
GSM1539109	7.713963822
GSM1539110	7.521579103
GSM1539111	7.523030656
GSM1539112	7.504250014
GSM1539113	7.520295524
GSM1539114	7.453092874
GSM1539115	7.588943641
GSM1539116	7.567676094
GSM1539117	7.535251321
GSM1539118	7.609896764
GSM1539119	7.571211136
GSM1539120	7.469659783
GSM1539121	7.510329107
GSM1539122	7.500661824
GSM1539123	7.604514822
GSM1539124	7.394787471
GSM1539125	7.561543674
GSM1539126	7.50225246
GSM1539127	7.440069282
GSM1539128	7.465171447
GSM1539129	7.51120842
GSM1539130	7.529114716
GSM1539131	7.420090807
GSM1539132	7.566989004
GSM1539133	7.440103057
GSM1539134	7.533753547
GSM1539135	7.460555766
GSM1539136	7.485383282
GSM1539137	7.511146955
GSM1539138	7.480191939
GSM1539139	7.517972965
GSM1539140	7.436228937
GSM1539141	7.55181236
GSM1539142	7.491224593
GSM1539143	7.460622166
GSM1539144	7.574281141
GSM1539145	7.459489363
GSM1539146	7.480005964
GSM1539147	7.491555002
GSM1539148	7.481054575
GSM1539149	7.559012651
GSM1539150	7.539096529
GSM1539151	7.475128602
GSM1539152	7.428378053
GSM1539153	7.543661343
GSM1539154	7.469061552
GSM1539155	7.486428808
GSM1539156	7.415564792
GSM1539157	7.519202575
GSM1539158	7.455379771
GSM1539159	7.455637892
GSM1539160	7.538820231
GSM1539161	7.467523047
GSM1539162	7.527232572
GSM1539163	7.461947794
GSM1539164	7.571462908
GSM1539165	7.506013449
GSM1539166	7.509765302
GSM1539167	7.495978931
GSM1539168	7.444257885
GSM1539169	7.559910903
GSM1539170	7.491969911
GSM1539171	7.470478364
GSM1539172	7.449604078
GSM1539173	7.418753241
GSM1539174	7.49925245
GSM1539175	7.586156399
GSM1539176	7.649014166
GSM1539177	7.615153079
GSM1539178	7.603326242
GSM1539179	7.384414373
GSM1539180	7.497844851
GSM1539181	7.493294091
GSM1539182	7.540840032
GSM1539183	7.545163917
GSM1539184	7.493479164
GSM1539185	7.393709829
GSM1539186	7.475521593
GSM1539187	7.472587354
GSM1539188	7.409933721
GSM1539189	7.411903334
GSM1539190	7.499925633
GSM1539191	7.580807853
GSM1539192	7.485174588
GSM1539193	7.451541096
GSM1539194	7.495639936
GSM1539195	7.551550632
GSM1539196	7.633709991
GSM1539197	7.466038044
GSM1539198	7.470418618
GSM1539199	7.598961769
GSM1539200	7.481754937
GSM1539201	7.521063172
GSM1539202	7.43166274
GSM1539203	7.385171385
GSM1539204	7.509691886
GSM1539205	7.459587002
GSM1539206	7.576559137
GSM1539207	7.558480261
GSM1539208	7.655195025
GSM1539209	7.610731945
GSM1539210	7.43721076
GSM1539211	7.554912235
GSM1539212	7.59437126
GSM1539213	7.477870402
GSM1539214	7.440969778
GSM1539215	7.58413145
GSM1539216	7.355718503
GSM1539217	7.432236533
GSM1539218	7.465294611
GSM1539219	7.478121805
GSM1539220	7.416547575
GSM1539221	7.380060586
GSM1539222	7.480891183
GSM1539223	7.44293144
GSM1539224	7.504635791
GSM1539225	7.536497528
GSM1539226	7.548008972
GSM1539227	7.449636144
GSM1539228	7.500072725
GSM1539229	7.422871723
GSM1539230	7.618529015
GSM1539231	7.398352885
GSM1539232	7.678511575
GSM1539233	7.490949626
GSM1539234	7.537485123
GSM1539235	7.587814665
GSM1539236	7.378828109
GSM1539237	7.516007044
GSM1539238	7.445948467
GSM1539239	7.419818234
GSM1539240	7.576324183
GSM1539241	7.365845031
GSM1539242	7.561543674
GSM1539243	7.389974864
GSM1539244	7.383877058
GSM1539245	7.531697882
GSM1539246	7.466809672
GSM1539247	7.592050755
GSM1539248	7.552820779
GSM1539249	7.457981974
GSM1539250	7.465119891
GSM1539251	7.396055335
GSM1539252	7.491095563
GSM1539253	7.546599985
GSM1539254	7.426236045
GSM1539255	7.502857053
GSM1539256	7.518697474
GSM1539257	7.379236466
GSM1539258	7.47673581
GSM1539259	7.525382098
GSM1539260	7.465570407
GSM1539261	7.528461127
GSM1539262	7.447139696
GSM1539263	7.40324282
GSM1539264	7.479739421
GSM1539265	7.353692506
GSM1539266	7.49344267
GSM1539267	7.513859656
GSM1539268	7.406857578
GSM1539269	7.532916712
GSM1539270	7.542726477
GSM1539271	7.427756205
GSM1539272	7.586100491
GSM1539273	7.619224594
GSM1539274	7.451507768
GSM1539275	7.492567658
GSM1539276	7.530370202
GSM1539277	7.445376186
GSM1539278	7.538252269
GSM1539279	7.319198506
GSM1539280	7.413090086
GSM1539281	7.598883189
GSM1539282	7.514360428
GSM1539283	7.426906497
GSM1539284	7.432304138
GSM1539285	7.595719096
GSM1539286	7.582601368
GSM1539287	7.446933194
GSM1539288	7.586324668
GSM1539289	7.476077493
GSM1539290	7.455994824
GSM1539291	7.440459005
GSM1539292	7.486231285
GSM1539293	7.525484388
GSM1539294	7.464186242
GSM1539295	7.504844842
GSM1539296	7.373889334
GSM1539297	7.463151514
GSM1539298	7.619550725
GSM1539299	7.512216909
GSM1539300	7.48459359
GSM1539301	7.506003314
GSM1539302	7.471198924
GSM1539303	7.476584831
GSM1539304	7.489831655
GSM1539305	7.482918622
GSM1539306	7.578659201
GSM1539307	7.387822803
GSM1539308	7.570792107
GSM1539309	7.537569965
GSM1539310	7.48952414
GSM1539311	7.567364709
GSM1539312	7.592716753
GSM1539313	7.507791584
GSM1539314	7.472397754
GSM1539315	7.563064305
GSM1539316	7.464567213
GSM1539317	7.572229911
GSM1539318	7.433205954
GSM1539319	7.502926894
GSM1539320	7.421497884
GSM1539321	7.462826123
GSM1539322	7.502790612
GSM1539323	7.481223446
GSM1539324	7.411932963
GSM1539325	7.459894224
GSM1539326	7.535622367
GSM1539327	7.616710096
GSM1539328	7.543174118
GSM1539329	7.570432447
GSM1539330	7.414226097
GSM1539331	7.576494324
GSM1539332	7.590332461
GSM1539333	7.482064959
GSM1539334	7.527300568
